date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:56	149/149	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Feb%202023%2015:41:59%20GMT	https://wojak-studio.com/robots.txt		(from )
22:41:56	5137/5137	---M-Z	200	added ('OK')	text/html	etag:W/%221411-1818246e060-gzip%22	https://wojak-studio.com/	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/index.html	(from )
22:41:57	3017/3017	---M-Z	200	added ('OK')	text/css	etag:W/%22bc9-17bff82bbb8-gzip%22	https://wojak-studio.com/css/themes.css	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/css/themes.css	(from https://wojak-studio.com/)
22:41:57	67646/67646	---M--	200	added ('OK')	image/x-icon	etag:W/%221083e-17b9d974248%22	https://wojak-studio.com/favicon.ico	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/favicon.ico	(from https://wojak-studio.com/)
22:41:57	2360/2360	---M-Z	200	added ('OK')	text/css	etag:W/%22938-17b91f76dc8-gzip%22	https://wojak-studio.com/css/fonts.css	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/css/fonts.css	(from https://wojak-studio.com/)
22:41:58	139544/139544	---M-Z	200	added ('OK')	text/css	etag:W/%2222118-1799f6f15c0-gzip%22	https://wojak-studio.com/css/fa.css	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/css/fa.css	(from https://wojak-studio.com/)
22:41:58	9216/9216	---M-Z	200	added ('OK')	text/css	etag:W/%222400-17bc0cc2af8-gzip%22	https://wojak-studio.com/css/nano.min.css	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/css/nano.min.css	(from https://wojak-studio.com/)
22:41:58	10858/10858	---M--	200	added ('OK')	image/png	etag:W/%222a6a-17df1c1a5e6%22	https://wojak-studio.com/res/bases/happy_smug.png	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/res/bases/happy_smug.png	(from https://wojak-studio.com/)
22:42:00	72360/72360	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211aa8-17c09050768-gzip%22	https://wojak-studio.com/js/dexie.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/dexie.min.js	(from https://wojak-studio.com/)
22:42:00	319875/319875	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e183-17be9df1360-gzip%22	https://wojak-studio.com/js/fabric.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/fabric.min.js	(from https://wojak-studio.com/)
22:42:00	23518/23518	---M-Z	200	added ('OK')	application/javascript	etag:W/%225bde-17c08ae5800-gzip%22	https://wojak-studio.com/js/pickr.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/pickr.min.js	(from https://wojak-studio.com/)
22:42:01	1032/1032	---M-Z	200	added ('OK')	application/javascript	etag:W/%22408-17df1811f58-gzip%22	https://wojak-studio.com/js/ajax.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/ajax.min.js	(from https://wojak-studio.com/)
22:42:01	837/837	---M-Z	200	added ('OK')	application/javascript	etag:W/%22345-181824238f8-gzip%22	https://wojak-studio.com/js/db.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/db.min.js	(from https://wojak-studio.com/)
22:42:01	330322/330322	---MCZ	200	added ('OK')	text/css	etag:W/%2250a52-1820d3b8d84-gzip%22	https://wojak-studio.com/css/css.css	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/css/css.css	(from https://wojak-studio.com/)
22:42:01	39490/39490	---M-Z	200	added ('OK')	application/javascript	etag:W/%229a42-18182427f48-gzip%22	https://wojak-studio.com/js/lang.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/lang.min.js	(from https://wojak-studio.com/)
22:42:01	71333/71333	---M-Z	200	added ('OK')	application/javascript	etag:W/%22116a5-1818242c1b0-gzip%22	https://wojak-studio.com/js/layers_lib.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/layers_lib.min.js	(from https://wojak-studio.com/)
22:42:02	3709/3709	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e7d-18182430418-gzip%22	https://wojak-studio.com/js/tools_lib.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/tools_lib.min.js	(from https://wojak-studio.com/)
22:42:02	747/747	---M-Z	200	added ('OK')	application/javascript	etag:W/%222eb-18182433eb0-gzip%22	https://wojak-studio.com/js/toolsicon_lib.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/toolsicon_lib.min.js	(from https://wojak-studio.com/)
22:42:03	69186/69186	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210e42-1820d3b5a80-gzip%22	https://wojak-studio.com/js/js.min.js	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/js/js.min.js	(from https://wojak-studio.com/)
22:42:04	331292/331292	---M--	200	added ('OK')	font/woff2	etag:W/%2250e1c-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-regular-400.woff2	(from https://wojak-studio.com/css/fonts.css)
